Animal,Extinction Frame,Final state check,Initial Entropy,Final Entropy,params,size,symmetry,circularity,MSE,SSIM,tolerance
Hexacaudopteryx,-1,soup,0.2575546930046323,0.8994017384877853,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.35, 's': 0.048}",1691,0.969434832756632,0.1901260767588554,0.0801731887898582,0.7673935543692149,0.05
Hexacaudopteryx serratus cavus labens,-1,stable,0.2241134191457846,0.2261513045289052,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.36, 's': 0.063}",1437,0.9361344537815126,0.1022110231827786,0.1749793555548799,0.544797801515154,0.06
Octacaudopteryx serratus cavus labens,-1,stable,0.2744373611410696,0.2815685798327098,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.38, 's': 0.064}",1814,0.9413287316652288,0.0555956563758192,0.1634170468795316,0.5846165583526944,0.04
Decacaudopteryx serratus sinus labens,-1,soup,0.3398801411918951,1.8100278452031824,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.38, 's': 0.065}",2319,0.962640099626401,0.0338725492725599,0.2209055670005699,0.4467940526748303,0.05
Catenopteryx cyclon,-1,soup,0.1165495590646356,1.280722565765494,"{'R': 13, 'T': 5, 'b': '1', 'm': 0.34, 's': 0.045}",694,0.9102564102564102,0.2633791319372334,0.0340764042589255,0.8986093733688765,0.0
Catenopteryx cyclon scutoides,-1,soup,0.1336217669671668,1.0755944499335974,"{'R': 13, 'T': 5, 'b': '1', 'm': 0.38, 's': 0.07}",848,0.9803108808290156,0.3449760683648507,0.3218500162379545,0.2700050858693094,0.0
Catenopteryx cinguli,-1,stable,0.6159842713267755,0.634962006061227,"{'R': 13, 'T': 5, 'b': '1', 'm': 0.38, 's': 0.07}",4594,0.8794642857142857,0.0559107885952955,0.3607993762043209,0.2111519795352771,0.56
Catenopteryx serratus cinguli,393,,0.3414034298829278,,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.38, 's': 0.062}",2312,0.9387254901960784,0.0377693646930841,0.1704994907442681,0.5634446395498128,0.11
Helicium solidus,-1,stable,0.1074098810998033,0.1069452496641715,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.35, 's': 0.059}",657,0.8855263157894737,0.1092840496474529,0.0502281602757161,0.8467156018124764,0.05
Helicium arcus saliens,-1,stable,0.1003466629228039,0.105475456012182,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.3, 's': 0.0474}",578,0.8609865470852018,0.1268390698243065,0.0755677366413436,0.7613787928241216,0.15
Helicium arcus saliens ignis,-1,soup,0.1096529352256568,1.1487683153337254,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.323, 's': 0.0577}",642,0.8770053475935828,0.2201742242130231,0.1737290727884976,0.5059369701369424,0.04
Helicium arcus pedes,-1,stable,0.1043897985594716,0.1097132767469307,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.3, 's': 0.0505}",601,0.8644793152639088,0.1392050917052867,0.1594513908163243,0.5216628371476996,0.13
Helicium cavus pedes,-1,soup,0.0897610460384946,1.288977528085689,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.22, 's': 0.034}",507,0.8589951377633711,0.1878250182615428,0.1422459626513759,0.4346828800392776,0.07
